platform,nama_produk,lokasi,harga
Facebook Marketplace,Samsung Galaxy A37 5G 8/128 Manado,Manado,Rp 5.500.000
Facebook Marketplace,HP tecno common 40,"Tumpaan, Sulawesi Utara, Indonesia",Rp 200.000
Facebook Marketplace,Speaker Manado,Manado,Rp 400
Facebook Marketplace,Printer DTF,"Ratahan, Sulawesi Utara, Indonesia",Rp 65
Facebook Marketplace,PC Intel Core i5 12400F | RTX 3050 Manado,Manado,Rp 8.900.000
Facebook Marketplace,Sound karoke Manado,Manado,Rp 3.750.000
Facebook Marketplace,BELI PLAYSTATION RUSAK Manado,Manado,Rp 25.000
Facebook Marketplace,Mobil mini thn 2017 lengkap surat BPKB STNK,"Tondano, Sulawesi Utara, Indonesia",Rp 55.000.000
Facebook Marketplace,Infinix smart 7,"Eris, Sulawesi Utara, Indonesia",Rp 600
Facebook Marketplace,Converse borongan Manado,Manado,Rp 125.000
Facebook Marketplace,"HOTWHEELS,MINI GT, POP RACE Manado",Manado,Rp 12
Facebook Marketplace,Gantungan kunci reket padel,"Airmadidi, Sulawesi Utara, Indonesia",Rp 15.000
Facebook Marketplace,Baru terdaftar Boneka Beranak Promo 17 Agustus Manado,Manado,Rp 4
Facebook Marketplace,Jual Tamiya Mini 4WD,"Airmadidi, Sulawesi Utara, Indonesia",Rp 111.111
Facebook Marketplace,Champiro sx2 195/50 R15 NIK 2024 mines sesuai foto jual 650rb,"Bitung, Sulawesi Utara, Indonesia",Rp 650.000
Facebook Marketplace,Keyboard YAMAHA SX700,"Tondano, Sulawesi Utara, Indonesia",Rp 1.234.567.890
Facebook Marketplace,Tv,"Bitung, Sulawesi Utara, Indonesia",Rp 450
Facebook Marketplace,Hdd external 320gb for ps2 260 game,"Langowan, Sulawesi Utara, Indonesia",Rp 375.000
Facebook Marketplace,REDMI HEADPHONE NEO Tompaso,Manado,Rp 750.000
Facebook Marketplace,Komputer Office Manado,Manado,Rp 1
Facebook Marketplace,Baru terdaftar Gitar klasik Yamaha C315 lengkap tas Manado,Manado,Rp 650
Facebook Marketplace,TV DIGITAL SHARP 43 INCH Manado,Manado,Rp 111
Facebook Marketplace,Honda beat eco tahun 2019,"Remboken, Sulawesi Utara, Indonesia",Rp 4.000.000
Facebook Marketplace,jersey Brazil Home Manado,Manado,Rp 55.000
Facebook Marketplace,2021 Daihatsu GramMax acps Manado,Manado,Rp 45.000.000
Facebook Marketplace,pc dan monitor,"Airmadidi, Sulawesi Utara, Indonesia",Rp 10
Facebook Marketplace,PS 4 SLIM ORIGINAL (0895421708245) Manado,Manado,Rp 2.950.000
Facebook Marketplace,Rp 20.000.000Rp 23.000.000 Honda CBR 150 CC,"Bitung, Sulawesi Utara, Indonesia",
Facebook Marketplace,2016 Yamaha R25 Manado,Manado,Rp 3.000.000
Facebook Marketplace,1996 Nissan terrano,Manado,Rp 27.000.000
Facebook Marketplace,Rp 6.000.000Rp 7.500.000 IPHONE 13 PRO 128gb - INTER Manado,Manado,
Facebook Marketplace,Rp 275.000.000Rp 350.000.000 Perum malalayang LT 120m2 Sertifikat Manado,Manado,
Facebook Marketplace,Rice Cooker,"Tondano, Sulawesi Utara, Indonesia",Rp 1
Facebook Marketplace,Laptop acer 14 inch besar Manado,Manado,Rp 17
Facebook Marketplace,Speaker Harman Kardon onyx 4 Manado,Manado,Rp 111
Facebook Marketplace,ipad pink (A16) gen 11 128 wifi Manado,Manado,Rp 294.680.496.256
Facebook Marketplace,Baru terdaftar 2003 Daihatsu Luxio Manado,Manado,Rp 17.500.000
Facebook Marketplace,2002 Mitsubishi lainnya Manado,Manado,Rp 32.500.000
Facebook Marketplace,2009 Daihatsu Luxio,"Bitung, Sulawesi Utara, Indonesia",Rp 100.000.000
Facebook Marketplace,1996 Toyota Toyota Kijang,"Tondano, Sulawesi Utara, Indonesia",Rp 22.500.000
Facebook Marketplace,Baru terdaftar Avanza+s1.+5++2008+bpkb+faktur+fk+ktp+only+mines+pajak+off+stnk+ilang+,"Remboken, Sulawesi Utara, Indonesia",Rp 55.000.000
Facebook Marketplace,Baru terdaftar INFINIX NOTE 60 PRO 5G,"Kawangkoan, Sulawesi Utara, Indonesia",Rp 5
